,airline_sentiment,airline,text,user_timezone
2797,negative,United,@united you are making me miss big snow in Montana. Not cool.,Eastern Time (US & Canada)
2798,negative,United,@united you might be the only airline not offering waivers...keep up the good fight,NA
2799,neutral,United,@united or frontier ... http://t.co/n8WiNFu6C5,NA
2800,positive,United,@united Thank you. Any help is appreciated.,Central Time (US & Canada)
2801,neutral,United,"@united FYI, went through this on similar flight last week.",Central Time (US & Canada)
2802,negative,United,@united I know where to check. My complaint is my ticket said dinner when I booked now it's changed to refreshments. Where's my refund?,Central Time (US & Canada)
2803,negative,United,@united Bag MIA since Wednesday. Still no word where it is or if we'll ever see it again. #lostluggage #frustrated,Eastern Time (US & Canada)
2804,neutral,United,@united assume those benefits only apply to my own reservation. Any way my partner (on diff res) can use them? Can we combine res?,Pacific Time (US & Canada)
2805,neutral,United,@united or us air: http://t.co/Eis9hcNPrO,NA
2806,negative,United,@united we can't all be american airlines I suppose... http://t.co/0EWj7oKlji,NA
2807,negative,United,@united Love to report how horrible this flight is to your team. Let's make it worse...as they get to my seat...out of all snacks,NA
2808,neutral,United,"@united uhuh.Group trying to get out of Nashville and into IAD today instead of tomorrow,why be preemptive though... https://t.co/yBv0xaowKv",NA
2809,positive,United,@united thanks for moving my dad on to my my mom's flight. You helped make his birthday start with #FriendlyFriday Awesomeness! 4 paws up!,Prague
2810,negative,United,@United you need to get it together 3 of 4 flights Cancelled Flightled stranded with no car and my baggage is lost!  You NEVER get it right.,Eastern Time (US & Canada)
2811,neutral,United,"@united blood services, make your appt. today! 18009174929 http://t.co/6UXwPaduGS",Central Time (US & Canada)
2812,negative,United,".@united It's worth saying that, if you litter in Singapore, you get caned. ""But there are rules"" says @united",Central Time (US & Canada)
2813,neutral,United,"@united Not waiving change fees with the snow storm coming tomorrow? IAD is under Winter Storm warning tomorrow already, what's up?",NA
2814,neutral,United,@united yes! I'll be sending an email to customer service today.,Eastern Time (US & Canada)
2815,negative,United,"@united I'm fully aware, it's just that your rules are harsh toward the client. Especially since you're going to resell my seat for more $.",Central Time (US & Canada)
2816,negative,United,@united why I won't check my carry on. Watched a handler throw this bag -- miss the conveyer belt -- sat there 10 min http://t.co/lyoocx5mSH,Central Time (US & Canada)
2817,negative,United,@united why? So I can waste more of time on this airline to get an automated message? Disappointing as always.,Mountain Time (US & Canada)
2818,negative,United,@united this means within one week i will have filed 2 compensation complaints to your website,Eastern Time (US & Canada)
2819,negative,United,"@united not 100% sure, however my ticket included one checked bag, therefore this charge was extra and completely unanticipated.",Eastern Time (US & Canada)
2821,negative,United,@united Terribly disappointed. Confirmed reservation delayed and your cust. service staff was not helpful in finding an alternate solution.,Central Time (US & Canada)
2822,neutral,United,@united this is for a check-in luggage. Employee told me not to include wheels in the dimensions.,Pacific Time (US & Canada)
2823,neutral,United,@united dmangen@visualclubconcepts.com,Eastern Time (US & Canada)
2824,neutral,United,"@united if I had a ticket refunded which I purchased, for my brother to fly...could I then used the refunded credit for me to fly? Respond",NA
2825,negative,United,@united this is besides the fact that one week ago you delayed me by 18 hours. i am not impressed at all.,Eastern Time (US & Canada)
2826,negative,United,"@united its my one and only checked bag, which is checked to edinburgh, however i am being charged randomly from dc to newark",Eastern Time (US & Canada)
2827,negative,United,@united with the purchase of my ticket i am entitled to check in 1 bag however i am being charged an extra 25 dollars for domestic transport,Eastern Time (US & Canada)
2828,negative,United,"@united Thank U for the 1hr delay then boarding us onto a plane that reeks of vomit, flight attendant indicated it wasn't cleaned properly.",Mountain Time (US & Canada)
2829,negative,United,@United I have never been so grossed out in my life. What a disappointment-yet again-flying with you.,Mountain Time (US & Canada)
2831,negative,United,"@united thanks for delaying my flight for an hour, and then boarding us onto a flight that REEKS of vomit because it wasn't cleaned properly",Mountain Time (US & Canada)
2833,negative,United,@united I can't even look at you right now. I'll call you when I'm not so mad.,Mountain Time (US & Canada)
2834,neutral,United,@united DM ed u the request num,Eastern Time (US & Canada)
2835,negative,United,"@united I requested an online refund option they denied saying the ticket was used, hope they understand the problem from your approach",Eastern Time (US & Canada)
2836,negative,United,"@united Nope, still sitting at the gate!",NA
2837,neutral,United,"@united bagage which i take to in the cabin i dont need to check-in,correct?",Amsterdam
2838,neutral,United,@united exactly,Eastern Time (US & Canada)
2839,negative,United,@united the passengers waited inside the flight on the runway and returned back in o gate that should not count as a valid journey,Eastern Time (US & Canada)
2840,negative,United,"@united yes it is partly used, the del-ewr is used, the return flight was Cancelled Flightled due to technical glitch in operations",Eastern Time (US & Canada)
2841,positive,United,@united thank you.. Appreciate the response,Pacific Time (US & Canada)
2842,neutral,United,@united Old school ride home to LAX from Houston #flyingRetro http://t.co/6asuwx3Kv0,Pacific Time (US & Canada)
2843,negative,United,.@united I appreciate you looking. Can you compensate me on anything for my troubles? Still haven't taken off for a 10:30 am flight,Quito
2844,neutral,United,@united mine is GJQX6J husband is A587CW (Can't DM for some reason.),Central Time (US & Canada)
2845,positive,United,@united thank you thank you thank you for contacting me. Thank you for the offer of a $1000 travel certificate #unitedairlines,New Delhi
2846,negative,United,@united Another terrible experience with United. Discrimination. Delays. And no help from customer service #united #notimpressed,Central Time (US & Canada)
2847,neutral,United,"@united Hi, we are flying into IAD tomorrow evening. Do you expect delays or Cancelled Flightlations with the snow storm?",NA
2848,negative,United,"@united If a business decision is made that inconveniences and possibly causes lost customers, is it a good business decision? #Cranky",Central Time (US & Canada)
2849,positive,United,@united sent a DM just now. Thanks I am incredibly happy the fast response I got via Twitter than via customer care. Thank you,Eastern Time (US & Canada)
2850,negative,United,@united please provide update on UA 791. This flight has been stranded by united with no information from the crew on the plane.,Quito
2851,negative,United,@united thanks for reminding me how much easier it is to fly Southwest!  Get more agents at sfo 25!,NA
2852,positive,United,@united perfect! That works! Thank you!,NA
2853,negative,United,"@united That's still one day over my visa expiring on June 9, which is why I booked my flight on that day.",London
2854,neutral,United,@united Followback so I can DM plz,Eastern Time (US & Canada)
2855,negative,United,@united MIA-EWR #384 😄😄😄 excellent crew. EWR-IAD #3589 😡😡😡 No crew to load bags - waiting w/ door open freezing. 20 mins past departure.,Eastern Time (US & Canada)
2857,negative,United,@united thanks for having ground crews that are surprised when flights arrive. #beingsuckontarmacsucks!,NA
2858,positive,United,@united mechanical issue. Looks like they got it fixed! Thanks for your concern.,NA
2859,negative,United,@united UA1023 sitting on Tarmac at ORD when there are visibly gates open. Reassign our gate.,NA
2860,positive,United,@united thanks,Pacific Time (US & Canada)
2861,negative,United,@united Usually an issue with Express our of SFO. Positive note: Mainline p.s. was enjoyable.,NA
2862,negative,United,"@united No. SATO rebooked me. Just upset that my travel office had to fix this, and you couldn't.",NA
2863,negative,United,@united kind of unnerving to watch the guy deicing your plane text on his phone the whole time http://t.co/QdXfT9qqT9,Pacific Time (US & Canada)
2864,negative,United,@united refreshes my browser right before checkout.error load message. Ticket price increased $358 in a matter of sec. DoUNotWantMyBusiness?,NA
2865,negative,United,@united @JedediahBila Why is United voted every year as one of the worst airlines? Do enjoy that title? You should give Jedediah free passes,Pacific Time (US & Canada)
2866,negative,United,@united I think you should board from the back of the plane #whatstheholdup #CHItoCLE,NA
2867,positive,United,@united On the plane but thanks! Maybe don't let so many people check in by themselves - teeming with morons.,Pacific Time (US & Canada)
2868,negative,United,@united Thanks...seat made for a 6 year old and a broken TV. 20 flights/year...my last on your airline.,NA
2869,neutral,United,@united UA6357 needs de-icing! Stat! We've waited our turn...,NA
2870,neutral,United,@united yes I've boarded this way many times &amp; have never had to show my pass on the Tarmac multiple times. Path was railed off. Only 1 way,Pacific Time (US & Canada)
2871,negative,United,"@united @bobwesson fair enough United. everybody is doing the best they can. Although that ""slight delay"" is turning into a Cancelled Flightlation.",NA
2872,negative,United,@united Still waiting on our bag! Never got delivered yesterday. Can't reach a real person for help. Sending DM with ref number.,Eastern Time (US & Canada)
2873,negative,United,@united worst flight experience I've ever had. Will never ever fly your airline again.,Eastern Time (US & Canada)
2874,negative,United,@united why do I have to go thru the details of the flight I want w/ the recording to then repeat ALL when a real person gets on the line?,NA
2875,positive,United,@united Looks like they came through. Thanks again for the help.,Eastern Time (US & Canada)
2876,neutral,United,@united anything yet JJ?,Eastern Time (US & Canada)
2877,negative,United,@united why would a person take hours and hours of wait time just to tell a lie,Eastern Time (US & Canada)
2878,negative,United,@united hey! DM not working. UA 307!,Quito
2879,negative,United,@united the refund team is far from customer care courtesy they need training on work ethics. So it's like sir u r lying how can I help,Eastern Time (US & Canada)
2880,negative,United,@united splitting up my flights quadruples the price,Amsterdam
2881,negative,United,@united contd... I am being told that I am asking for a refund on a used ticket on a flight that got Cancelled Flightled how is the ticket used?,Eastern Time (US & Canada)
2882,negative,United,@united after several trials and several hours of waiting on phone to contact customer care to get my refund all I get is cold shoulder,Eastern Time (US & Canada)
2883,negative,United,@united I booked and paid for a flight to get me to Denver at a specific time for a meeting. You failed... It wasn't caused by weather,NA
2884,positive,United,@united since when did you get so good again!  4 transcontinental flights in 72h.  What a pleasure/relief you were.,NA
2885,negative,United,@united what I don't understand isn't flight that I paid premium for getting Cancelled Flighted and the best you can do is next available flight...,NA
2886,negative,United,"@united Flight is awful only one lavatory functioning, and people lining up, bumping, etc. because can't use 1st class bathroom. Ridiculous",Pacific Time (US & Canada)
2887,neutral,United,@united Are the current on board food menus available anywhere online?,NA
2888,neutral,United,@United Airlines Is Changing Its MileagePlus Program: Winners And Losers http://t.co/F1yvAiO9ul http://t.co/vGlx6Ykwqg,Eastern Time (US & Canada)
2889,negative,United,@united actually we aren't. Still parked here.,Eastern Time (US & Canada)
2890,neutral,United,"Can I put sun in my carry on? RT “@united: @ant_kneee Right now 0 would be a heat wave, so enjoy the warmth! Can you bring some home? ^JJ”",Central Time (US & Canada)
2891,positive,United,@united Thanks!,Atlantic Time (Canada)
2892,positive,United,@united thanks for prompt response.  Another hour to enjoy vacation! Perhaps a bug in the app as it still shows 2:55.,Eastern Time (US & Canada)
2893,negative,United,@united Why can I only apply one travel certificate per itinerary even when I have multiple flights?,Amsterdam
2894,positive,United,@united appreciate the sentiment and you were able to get me off the ground;still missed connection,Central Time (US & Canada)
2895,negative,United,"@united I log in, view reservations, try view specific reservation &amp; takes me back to login page,",Eastern Time (US & Canada)
2896,neutral,United,"@united it just goes round &amp; round, it's be going on for weeks,",Eastern Time (US & Canada)
2898,negative,United,@united 3 times my flight has been delayed and I miss my next flight. This time you've lost my baggage. No clean clothes. $337 flight. Thx!,NA
2899,neutral,United,@united I looked on the email chain and there is not one,Eastern Time (US & Canada)
2900,negative,United,@united why the hell do my miles expire? Was really looking forward to accruing enough for a free flight in 10 years.,Eastern Time (US & Canada)
2902,neutral,United,@united Do you also want the naming rights to my first child so I can fly home and visit with my mother and avoid more winter depression?,Central Time (US & Canada)
2903,negative,United,@united I'm familiar with the procedure. It wouldn't be the first time #UnitedAirlines lost one of my bags. #unhappytraveler,Central Time (US & Canada)
2904,negative,United,@united I get that. But doing it by giving inaccurate/misleading info doesn't seem like a great way to do it. #hopethegearmakesitintact,Pacific Time (US & Canada)
2905,negative,United,@united cleaning a regional jet takes an hour?,Eastern Time (US & Canada)
2906,positive,United,@united Baggage check in and in flight crew the friendliest ever Flight#417 ogg to Lax !!!,Pacific Time (US & Canada)
2907,neutral,United,@united thanks. That means I have 30 minutes to make my international connection to HKG,Central Time (US & Canada)
2908,neutral,United,@united @JedediahBila KP I am not traveling - we trying to cheer up Ms. Bila.,Eastern Time (US & Canada)
2909,negative,United,"@united You just tried to charge $750 for a $539 flight when I tried to make a change over the phone, not including $200 change fee. WTF?",Central Time (US & Canada)
2910,positive,United,@united Thank you for your offer! All sorted out :-),NA
2911,neutral,United,@united workin on it. Waiting on him to reply.,Eastern Time (US & Canada)
2912,negative,United,@united Flight 395. Rolling delay of 1 hour 42 minutes,Central Time (US & Canada)
2913,negative,United,@united I believe just customer service. At last post he was at Narita in Tokyo. They sent him to a motel to rest. Said standby maybe 2days,Eastern Time (US & Canada)
2914,positive,United,@united I think this is the best first class I have ever gotten!!  Denver to LAX and it's wonderful!!!,NA
2915,positive,United,@united of course not. The inflight crew was great!,Eastern Time (US & Canada)
2916,positive,United,"@united well played, ^LO.",Eastern Time (US & Canada)
2917,positive,United,@united The pilot of UA475 just landed this plane like he was gently placing us into a pile of whipped cream. Smoothest landing ever.,NA
2919,negative,United,@united the new seats on the Canadaair regional jets just plain suck.,Quito
2921,negative,United,@united airlines abuse your expensive video equipment and overcharge you for the privilege http://t.co/SdyLuKR7pt via @robthecameraman,London
2922,neutral,United,@united found the flight on @airfarewatchdog,NA
2923,negative,United,@united that's the reply? Lol hoping that at least the new plane was maintained before the flight. 😒,Central Time (US & Canada)
2924,negative,United,@united Did somebody say flight upgrade?,London
2925,neutral,United,@united DM sent.,NA
2927,negative,United,"@united I can tell you. Your airline has lost mine and my families business. 
This day and age message through Twitter travels fast.",NA
2928,negative,United,@united trying to reach him for the number. At last they have him on standbye and gave him 1 meal voucher for a potential 2 day standbye!,Eastern Time (US & Canada)
2929,negative,United,@united this is very disappointing. This is about customer service.,NA
2931,negative,United,@united @44Stocker my wife Sarah stocker did also called but could not connect me to customer service,NA
2932,negative,United,"@united Once again I am victim to the scam that is your SHIT Customer Service, this time the agent hung up on me WTF do you teach your staff",Eastern Time (US & Canada)
2933,negative,United,@united flight 1219. My frustration boiled over after dealing with attendant. Her attitude was ridiculous.,NA
2934,negative,United,@united nice to know that 3 hours of my time is worth $7.99. Free DirectTV for everyone! Ever hear of preventative maintenance?,NA
2935,negative,United,@united that may be true however after 4 weeks matter is still unresolved and I can not get through to a supervisor or manager to help,Eastern Time (US & Canada)
2936,negative,United,@united obviously no one knows a darn thing around here.  What are we to do if this does not get resolved? http://t.co/Ph8QJzaPKx,NA
2938,negative,United,@united I have those notifications yet the staff on board say that is not accurate and they have no departure time.,NA
2939,negative,United,@united I'm not know if the seats are actually narrower than other seats but they feel like it. Or maybe I'm extra bloated.,Tehran
2940,negative,United,@united DM sent.  This lack if customer service is getting ridiculous.,NA
2941,negative,United,@united delayed going home AGAIN. Getting really tired of delays.,Central Time (US & Canada)
2942,positive,United,@united a big thanks to ^MN and ^KN or patiently clarifying the United domestic world to me.,Berlin
2944,negative,United,@united I'm rebooked. Getting home 4 hours Late Flightr then planned. What are the chances I'll ever see my bag again? #unhappytraveler,Central Time (US & Canada)
2945,negative,United,"@united United Club team is A+ &amp; got me a seat Late Flightr. Still, not sure why a last min UAL Cancelled Flightlation costs me $ yet overbooked folks get $?",NA
2946,negative,United,"@united will flight 5559 to YYC be providing free food when we are allowed back on board  after the ""broken lightbulb""",NA
2947,negative,United,@united I was not looking for the fare to be returned on the companion flight.  don't understand why an additional $200 fee was necessary.,Eastern Time (US & Canada)
2948,positive,United,"@united thank you so much, that helps a ton. Whoever is on this Twitter acct today deserves a handshake and a hot chocoLate Flight. #problemsolvers",Eastern Time (US & Canada)
2949,neutral,United,@united I left headphones in 2A on UA4689 from YHZ-EWR. It's a long shot to see them again. But worth a tweet anyway!,Atlantic Time (Canada)
2950,neutral,United,@united 129 thousand fans of @JedediahBila are asking you to give her your utmost effort to get her a safe flight with her baggage soon!,NA
2951,positive,United,@united can't wait!!! 787!!! @tpallini http://t.co/oDlall5eDH,NA
2952,negative,United,@united flight 5187 to be specific. The last two were probably 30 feet apart and within sight of each other,Pacific Time (US & Canada)
2953,positive,United,@united love being told you would issue a refund when you couldn't get us out of the way of a hurricane to have it denied,Eastern Time (US & Canada)
2954,negative,United,@united Without baggage for 5 days and can't get an update from Houston airport since Monday. Worst service ever!,NA
2955,negative,United,@united yes to three different checkers along the walk to the plane. Overkill,Pacific Time (US & Canada)
2956,negative,United,@united Bummer. Might have to go with @AmericanAir card instead. TY for response though.,Eastern Time (US & Canada)
2958,negative,United,@united or I'm sure her business will go else where for airline travel. Her name is Kathryn Sotelo,NA
2959,neutral,United,@united please arrange someone at the arriving gate of flight 5957 to Chicago for either a refund or first class upgrade,NA
2960,negative,United,"@united made to check in my carry on from Flight 1449 PBI to Newark. Plane luggage stow not full. U r costing me time, money &amp; aggravation!",NA
2961,negative,United,@united I have no way to contact her while she is in flight. This does not work for me. Her father is about to pass and is heading to Denver,NA
2962,negative,United,"@united we are on two more flights today, let's hope the kit does not get the same treatment!! http://t.co/Pd3nbAAkxH",London
2963,positive,United,@united thnx!,Amsterdam
2965,neutral,United,@united just emailed Jim Compton and Jeff Smisek so hopefully you pay attention now,Pacific Time (US & Canada)
2966,negative,United,@united I hope you have a solution or insurance to cover this issue,Pacific Time (US & Canada)
2967,negative,United,@united customer service has no solution and now we might miss a show because of them,Pacific Time (US & Canada)
2968,negative,United,@united deserves to go bankrupt. Just delayed an outbound flight with no info on the connecting flight that we're going to miss,Pacific Time (US & Canada)
2969,negative,United,@united FLT 3444 delayed because of maintenance - that's fixed but can't board because flight crew didn't stay in boarding area #fail,NA
2970,negative,United,@united not anymore.  Finally was ticketed 5 min before takeoff.  Not sure why the confusion with a full-fare GSA ticket.,NA
2971,neutral,United,@united Do miles earned with Explorer card count toward lifetime miles?,Eastern Time (US & Canada)
2972,negative,United,"@united yes, but they still don't know where it is.  I've been told it might be on a flight, but now no one can confirm it.",NA
2973,neutral,United,@united what do I do if something is missing from my checked baggage?,Eastern Time (US & Canada)
2974,negative,United,"@United wind chill in Ithica -17 degrees, and for the trouble of losing my clothes they give me a t-shirt. I'll burn it for warmth. #united",Eastern Time (US & Canada)
2975,positive,United,"@united Aw, thanks for the kind words. Totally makes these extra 6 hours sitting in an airport SOOOO much better.",NA
2976,neutral,United,@united Frontier is currently offering their weather exceptions for this weekend. When is United?,Mountain Time (US & Canada)
2977,negative,United,"@united I will be calling customer service. 2 delayed flights today now, luggage misplaced, a disaster across the board.",Eastern Time (US & Canada)
2978,negative,United,"@united crew has been notified, passenger moved but water not fixed. Now on tarmac two hours",Atlantic Time (Canada)
2979,negative,United,@united that link is not helpful as it does not put me In touch with management,Eastern Time (US & Canada)
2980,positive,United,"@united as u might imagine, this former pilot was particularly touched by the gesture. Please let the FO know #keepingtraditionsalive",Eastern Time (US & Canada)
2981,negative,United,"@united Delayed CMH to ORD. Ran to gate 1 min b4 connection -door closed no one around. Ignored by 1st agent, 2nd super rude. #thanksunited",NA
2983,negative,United,@united: Worse - headed to LaGuardia (delayed).  Why is the tray table the size of a mouse pad and the overhead the size on my pocket?,NA
2984,negative,United,@united now 1558 from IAH to EWR has broken entertainment system and no WiFi despite info on app: http://t.co/FY6f9rZB9k,Eastern Time (US & Canada)
2985,negative,United,@united your customer service is terrible,Eastern Time (US & Canada)
2986,neutral,United,@united done,Pacific Time (US & Canada)
2987,negative,United,@united please send help ASAP to @KathrynSotelo on flight 5957 to Chicago seat 9c #Airlines http://t.co/9sKrLyrZ1O,NA
2988,negative,United,"@united define ""appreciate"". I doubt the worst major airline in the USA acts on much feedback.",Central Time (US & Canada)
2989,negative,United,"@united yea, a refund. Your airline ruined our trip.",Central Time (US & Canada)
2990,positive,United,@united just sent - thank you!,Quito
2991,negative,United,@united that's wonderful. unfortunately doesn't help on this 4 hr flight between to major U.S. cities. #disappointed,Central Time (US & Canada)
2992,negative,United,"@united thanks for delaying our flight for an hour, missing our connecting flight and terrible customer service. #neveragain #vacation",Eastern Time (US & Canada)
2993,negative,United,"@united Got rebooked on AA.  One question though, do you automatically refund the check baggage fees for flight that was Cancelled Flightled?",Eastern Time (US & Canada)
2994,negative,United,@united It is all good -- your 1K team has been nothing short of amazing with everything.,NA
2995,negative,United,@united new flight has me at the window. Kind of ticked off. I pick aisle seats only because I hate window seats. #annoyed #EpicFail,Quito
2997,negative,United,.@united Nope - had to rebook through Houston so I could get to Amarillo before 11pm. Stuck in SFO for four hours.,NA
2998,positive,United,"@united thanks, i made it.",Eastern Time (US & Canada)
2999,neutral,United,@united past,Eastern Time (US & Canada)
3000,positive,United,@united Thanks! Just DMed HN.,NA
3001,negative,United,@united is a money sucking airline with terrible terrible customer service,Eastern Time (US & Canada)
3002,negative,United,@united - are you aware your airbus fleet sucks?  I'd rather fly a C-130 full of rubber dog shit.,NA
3003,neutral,United,@united Will you be issuing an exception policy for Denver for this weekend?,NA
3004,neutral,United,"@united I need a breakdown of what the ""international surcharge"" on my flights cover. Please help",Pacific Time (US & Canada)
3005,negative,United,@united https://t.co/jpd7NsGRT7. Fyi your staff are telling customers to try other carriers,New Caledonia
3006,negative,United,@united couldn't have possibly messed up our trip anymore than they did. Thanks for being such a terrible airline. #disappointed,Central Time (US & Canada)
3007,negative,United,@united no wifi on #ua688 #SF to #Chicago? 2015. That's all. Ps: This tech intro video is a joke. #EpicFail,Central Time (US & Canada)
3008,neutral,United,@united flight #1051 on 2/23. Thx,Eastern Time (US & Canada)
3009,neutral,United,@united Based on suggestions from other passengers I have a rental car on standby for 11:30.  One way or another will be leaving then.,NA
3010,negative,United,@united Thanks for the reply. The box is not mine and I'm not missing one. It was added to my bag ....,Eastern Time (US & Canada)
3011,negative,United,@united no wifi on flight ua688. SF to ORD. Really?  Wow,NA
3012,neutral,United,@united gives Belfast a #Hug with the new unmissable #BusHug format #impact #busads #thinkbus @BelfastAirport http://t.co/AvbdstJUJS,London
3013,negative,United,@united is the worst http://t.co/27aitZl6nd,NA
3014,negative,United,@united haha and you have to clean a plane that was held overnight in a hangar. Sounds lovely. Also don't lie on screensand say it's weather,Eastern Time (US & Canada)
3015,negative,United,@united no because you will charge me or delay me further. United 1612 still waiting.,Eastern Time (US & Canada)
3016,neutral,United,"@united @Adam_Karren @zj76 how did you save the $200 on checked snowboard? Trying to check in this morning, website wants $200! (prem.gold)",NA
3017,neutral,United,"@united traveling from FRA thru IAD to MCO tomorrow, concerned abt IAD weather. Can't change until advisory issued? Any advice?",Quito
3018,negative,United,@united I did and then she made me feel guilty because it was economy plus and I didn't pay for the extra leg room,Eastern Time (US & Canada)
3019,negative,United,@united my flight Cancelled Flightled new flight 5012 hopefully will not.,Quito
3020,negative,United,@united #4781 Cancelled Flightled. #5102newflight I will be upset if this one Cancelled Flights too. I could have rented a car if they would have been honest.,Quito
3021,positive,United,@united enjoyed #heathrow lounge so much i almost missed my @airnzusa flight!,Arizona
3022,positive,United,"@united Hi, flight 1051. If I try and book a new one way,  flight departure shows up as 3:55pm which seems accurate.",Eastern Time (US & Canada)
3023,negative,United,@united Stuck in. ORD because United can't find their airplane. Lol. #upset terminal right now.,Eastern Time (US & Canada)
3024,neutral,United,@united Who can I contact about requesting a charity donation? #ThankYou,Eastern Time (US & Canada)
3025,negative,United,@united WTH be honest with your customers.  This better be the last change or we are driving home.  Has our plane left or not!,NA
3026,negative,United,@united 2nd time in a row  I've been over charged by 100's of $$ on my plane ticket WHY? #united I shouldn't have to check my CC everytime,NA
3027,neutral,United,@united I need a customer service manager to contact me please,Eastern Time (US & Canada)
3028,negative,United,@united Is flight 5001 really going to leave Newark today?  If not tell us now and I will rent a car.  I do not want to end up stranded.,NA
3029,negative,United,.@united thanks for the reply. I saw that but it's not particularly helpful to a hungry vegetarian not flying those specific flights. SHRUG.,Central Time (US & Canada)
3030,negative,United,@united so funny that my boarding pass said PRIORITY a because clearly I am not a priority to this airline,Eastern Time (US & Canada)
3031,negative,United,@united I'm sure you will offer me nothing for the inconvenience you have put me through TWICE this month. Tweets don't cut it,Eastern Time (US & Canada)
3033,negative,United,@united screwing me over twice in one month. Learned my lesson. We are through.,Eastern Time (US & Canada)
3034,negative,United,@united what's the point of offering a free checked bag of you lose it?,Eastern Time (US & Canada)
3035,neutral,United,"@united Will do, cheers",Eastern Time (US & Canada)
3036,positive,United,@united Please send me the link/email to formally compliment Irene in SLC on some of the best customer service ever. #PaxEx,NA
3037,positive,United,@united thnx ^LO :-),Amsterdam
3038,neutral,United,"@united yes. Houston Int'l, Bush.",NA
3039,neutral,United,@united Hi. My 2/23 flight from CUN-EWR shows a departure of 2:55pm on my United app.  Can you confirm?  Doesn't look correct.  Thanks.,Eastern Time (US & Canada)
3040,negative,United,"@united flight from vegas to houston Cancelled Flighted this morning ""due to operation"" what does this mean!???? Thank god I woke up early today!",Central Time (US & Canada)
3041,neutral,United,@united Will do! Thanks!,Central Time (US & Canada)
3042,negative,United,@united education of that staff is needed - he also turned away other first class cabin passengers with mileage plus.,NA
3043,negative,United,@united Item (not mine) mysteriously ended up in my checked bag after a #EWR to #YOW flight.  Missing a black box? http://t.co/SJQEmDtQmA,Eastern Time (US & Canada)
3044,negative,United,@united My guess:flight is going to be Cancelled Flightled because there are 16 empty seats and those who confirmed are not important. #frustrated,Quito
3045,negative,United,"@united instead of making  seats smaller/thinner so u can jam more people on a flight,u should concentrate on maint &amp; happy customers",Eastern Time (US & Canada)
3046,negative,United,@united I need assistance with pulling your agents' heads out of their asses,Pacific Time (US & Canada)
3048,negative,United,@united @abigailedge Another glitch??,NA
3049,positive,United,@united in spite of flight delay great customer service provided by Janet and baggage employee Karen. You have 2 wonderful employees United.,NA
3050,negative,United,@united I really have a hard time believing that 4 planes in this terminal are all delayed for mechanical issues. #whatgives #dullessucks,Quito
3051,neutral,United,@United to start 3xdaily @EmbraerSA #ERJ145 flights from #Chicago @fly2ohare to #Evansville on 4JUN #avgeek,Abu Dhabi
3052,negative,United,"@United flight 4465 almost half an hour at the Tarmac ""waiting for papers""... Cannot miss my connection at IAH !",Eastern Time (US & Canada)
3053,negative,United,@united worst airline ever. Thanks for the slew of rude agents and staff making my delayed flights even worse.,Pacific Time (US & Canada)
3054,negative,United,@united no chance in hell. I'd rather walk. Worst airline ever.,NA
3055,negative,United,@United is the worst major US airline.  More proof: they're boarding the plane with the outside galley door open in 0 degree weather.  Wtf?,Atlantic Time (Canada)
3056,neutral,United,@united [checked in + boardingpass w/no checkin bagage] guess i'm all set. :-),Amsterdam
3057,positive,United,@united always makes our cross country flights rad. @hemispheresmag here's baby flier Charlotte! #8thtime5MonthsOld http://t.co/kCqnwIXUCm,Quito
3058,negative,United,"@united Too Late Flight, damage has been done. Easily the worst airline experience of my life. Missed two connecting flights &amp; days of work. #UA49",Central Time (US & Canada)
3059,negative,United,@united don't know if you are aware that ALL of your premier access lines are closed in your terminal. I feel the love.,Paris
3060,positive,United,@united #FirstClass to #London on my way to #LondonFashionWeek #LFW15 👠🇬🇧👠🇬🇧👠🇬🇧,Central Time (US & Canada)
3061,negative,United,@united disappointed to learn you are now charging $200 to use 20k miles for upgrades on PS JFK flights. Will be looking at alternatives.,NA
3062,neutral,United,@united just kidding with you I'll send you my stuff now. Thanks,London
3063,negative,United,@united @FAANews unacceptable practice to leave Cancelled Flighted flight passengers to sleep on cement with no pillows #UA1724 http://t.co/nDTLJ15ZpU,NA
3064,negative,United,@united can u get the crew member that we are waiting on? We were told 40 minutes ago they landed here and they are still not to our gate.,Eastern Time (US & Canada)
3065,negative,United,@united Flight 6212...massive fail! They delaying to transport a crew member causing many to miss connections! Unreal!,Eastern Time (US & Canada)
3066,negative,United,@united I had the worst customer experience at Houston intl airport... Your ground support even for @staralliance members is a nightmare,Athens
3067,neutral,United,@united tremendous. What would you recommend?,Eastern Time (US & Canada)
3068,negative,United,@united can you help me with a delayed flight as im going to miss my connection?,London
3069,negative,United,"@united I'm counting on you, please don't let me down! #delayed #again #needtocatchmynextflight #alreadyrebookedonce",Eastern Time (US & Canada)
3070,negative,United,@United why is it so impossible to actually get a passenger AND their luggage to their final destination?,NA
3071,positive,United,@united -huge kudos to the FO of Sunday's flt #1623 sjo-iad. Handed my daughter her first pair of wings! Keeping traditions alive.,Eastern Time (US & Canada)
3072,positive,United,@united awesome new plane flight 1701,Eastern Time (US & Canada)
3073,negative,United,@united #flightdelay on an early craft arrival because pilot is stuck in traffic #fail #nocustomerservice #nocompensation,Pacific Time (US & Canada)
3074,negative,United,"@united  oh united, how much I despise thee!",Central Time (US & Canada)
