"Response","tweets"
"positive","let s hug it out   redsoxnation  please download this  mobile  wallpaper to remind you that yes  these red sox are  https   t co hxajafcabq"
"negative","gm cruise snags dropbox hr head to hire at least 1 000 engineers by end of year  https   t co eb7b8h3k0d  https   t co kkdcu6y9re"
"neutral","                               1             while it s raining for 1 hr  but my iphone weather s app  forecase lik  https   t co wgov25unji"
"positive","rt  kasheer suneel  gosh i found this in my drawer you have no idea how happy i was wen i bought this it worked for 3 years and finally i d "
"positive","iphone 7 plus free for you  complete information on how to get it  please click the link in our bio  this is very c  https   t co 0z9ijbo6wi"
"positive","my sunday special just for you  the three eyed raven phone wallpaper   grab it free at https   t co 4mlso8pcsh  ple  https   t co mks8c6hwsb"
"neutral"," imac  this discounted  mouse pad also has an  wireless  charger for  iphone  50  off  https   t co ahfr1ahtff"
"positive","13  iphone apps that pay you to get fit and exercise  https   t co 8axh8j7raa"
"neutral","might want to check this  iphone apps list https   t co wqlozkgqqk"
"positive","15 tips to increase  battery life up to 30 percent more on  iphone https   t co z4mmozoyyi"
"positive","change the charging  animation on  iphone with this  cydia  tweak https   t co ivh8ihnkm8"
"positive","gosh i found this in my drawer you have no idea how happy i was wen i bought this it worked for 3 years and finally  https   t co ncv30tr9je"
"positive","i accidentally put my  iphone in the washing machine  after a wash it smells great and still works like before  rea  https   t co uzjb9aurgh"
"positive","top selling  prescription  drugs 6   herceptin  7   eliquis  8   avastin  9   remicade  10   xarelto  medsminders  https   t co xrbyddmklm"
"neutral"," lookup   instagram  industrialdesign  industrial  pic  sarita  photography  iphone upmarkettt trinidad  and  tobag  https   t co s3ejorrtov"
"neutral","  iphone5 rincorn https   t co aqxmzol0po   iphone      iphone                  https   t co g3biv8754i"
"neutral","google duplex assistant to reach  iphone s  most  android phones  https   t co jijckpjzvn"
"positive","this  smallbusiness owner is a much better  caterer than email writer  me   thank you   compliment   favor   him     https   t co bncvoligon"
"positive","anticipation grows for  apple  iphone se2     https   t co psgvokfjot"
"neutral"," patrickallies but not on will s htc  maybe an  iphone thing "
"positive","screen time weekly report having any effect on your behavior  i give it a two second look  am at best mildly intere  https   t co 32vhsu29dn"
"neutral","are you a selfie fan   sundayselfie  iphone https   t co mphqzlicbk"
"positive","7 days to go   will you be tuning in to watch season 8 of game of thrones  call 01355 241222 or visit  https   t co glpls5qeag"
"positive","rt  kateenters  very productive afternoon in the studio   two more paintings started and this piece progressing rather nicely    momentinti "
"negative","price drop   death worm  on sale for  iphone  ipad  1 99  gt  gt   0 99 https   t co qa20uwgv23 https   t co aqjhzgaaw9"
"positive","oh yeah  welcome to https   t co clv0rotsyy   phone  android  iphone  phone https   t co dum83vwsuv"
"positive","rt  kevinmaxphoto   ramen  yummy  tampa  downtowntampa  armatureworks  foodie  iphone  iphonephotography  family  lunch  photooftheday  ig "
"positive","rt  techinrl  apple arcade   apple event march 25  2019   https   t co 3tfaqhfahq   appleevent                 applearcade  gaming  gamingn "
"negative","how to know if someone blocked your number on iphone for calls or messages https   t co zf3fahnsxd  osx  ios  mac  https   t co 7kmfmz0gpk"
"positive","microfiber screen lens square cleaning cloth  get it here     gt  https   t co cxmwjlzyp2    cellphone  iphone  mobile  https   t co bzbrztfmnh"
"positive","one of the  iphone s most useful features is hidden just to the left of the homescreen https   t co mxakioleel"
"neutral"," meverunka  athensairport  dxb  meverunka why dont you get your  audio  books on your apple book app    apple  https   t co zqeghcyrlh"
"negative","rt  rebeccamstp  dropped your  iphone in the lake or the toilet  lost hundreds of photos  call ipad rehab    ipad rehab   a fascinating sto "
"neutral","64gb apple iphone xs for  839 at gazelle   160 off  no contract  30 day return   apple  iphone  iphonexs https   t co 1sfigpcfvs"
"neutral","facebook game ranking no 5 criminal case pretty simple https   t co oeebzlrbjb  jamjamtv  game  facebook       iphone  ipad  goog   jamjamtv"
"negative","leedieofficial no foundation 2 out on all platforms  leedieofficial  spotify  applemusic  android  itunes  https   t co sgnjoa7x4g"
"positive","rt  stinigeriaplc  can you believe it   stifacts  sti  facts  iphone  harrypotter  books  rubik  cube  product  history"
"negative","cacoteo radio no app needed to listen visit https   t co 85q6anhlc8 and hit play  iphone  android listen anywhere n  https   t co o6xrhrifvw"
"neutral","get hipster  chef  stickers   cooking  text  blogger  iphone  ios10  texting  imessage  imessageapp  imessagesticker https   t co 8eo63hspgj"
"positive","rt  worksrave  very happy to start our new brand x store which allows the followers to buy their fascinated mobiles at a excited discounts  "
"positive","check out this amazon deal  omoton smootharmor 9h hardness hd tempered glass screen protector for apple  iphone 8 p  https   t co jl89v4evhx"
"positive"," ramen  yummy  tampa  downtowntampa  armatureworks  foodie  iphone  iphonephotography  family  lunch  photooftheday  https   t co pf6rrraial"
"neutral","rt  nradioapp  i am listening to  u2   american soul   spiderwebradio        https   t co dy2bnrocce    applemusic      https   t co 4lfbth "
"negative"," iphone user again converted to the dark side"
"positive","rt  program spirit  how to learn swift programming   ultimate beginners  guide  swift  swiftlang  swiftprogramminglanguage  ios  iosdev  ip "
"positive","code unlock on  apple  aapl  iphone  lg  samsung  zte  metropcs  att  tmobile  cricket save money  unlock  code codeunlock"
"positive","america   busy bee s  electronics  technology  tech  gadgets  iphone  electronic   gadget  geek  techie  https   t co 9cwpyeg12c"
"positive","thankful  get  free  stickers   grateful  blogger  iphone  ios10  texting  imessage  imessageapp  imessagesticker https   t co koef6ytv1z"
"positive"," instagram i can t log in thru the  app via phone but can log in on my computer  i don t think my  art    travel  https   t co zdxeyi8ikw"
"neutral"," garageband  iphone  dtm  dtmer                  my song 1635 https   t co ntuzuy2zsp"
"positive"," bible verse found with walk the walk daily by  roboticode for  android  iphone  kindle   dailyinspiration https   t co glufappyhy"
"neutral"," watermark the picture in seconds with  ezy watermark for  iphone   ipad and  ipod touch https   t co rcdjldziuz"
"positive"," bible verse found with words of jesus each day by  roboticode for  android  iphone  kindle   dailyinspiration https   t co nnmjk9nagu"
"negative","i should also upgrade my phone   socialmediamanagement would be easier on a bigger screen    tmobile  iphonexr  https   t co qbj3zoolrk"
"positive"," bible verse found with identity in christ daily by  roboticode for  android  iphone  kindle   dailyinspiration https   t co 6wistmteeu"
"positive","hmmm  i m debating if i should jump over to verizon from t mobile  these speeds are lame  left is verizon and right  https   t co wgnd2dlpwc"
"negative","rt  markuk97  hot pink plasma on black iphone wallets https   t co drugfkw2ew via  redbubble  hot  pink  plasma  iphone  wallet  case  blac "
"positive","top story   19kalamag   upcoming  mobile  technology   news  android  samsung  iphone                        https   t co ylmawu7dqf"
"positive","i had to jump on iphones ring tone       so don t take it personal i was just having fun    ijobawest   music  vow  https   t co 13pmk0drhw"
"neutral"," apple invents a next gen  iphone with a  flip iphone form factor https   t co 8oiqxjsb2y https   t co tuh9axt0qx"
"neutral","speed up chrome with these simple tips  android  iphone  phone  phones  mobile  apple  leomessi  katyperry  https   t co qjpv4wn0ou"
"positive","theresa may has said working with labour is the only way to deliver brexit  android  iphone  phone  phones  mobile  https   t co jvt8swnoo1"
"positive","apple arcade   apple event march 25  2019   https   t co 3tfaqhfahq   appleevent                 applearcade  https   t co vitxj20ma8"
"positive"," right to repair  it s your  iphone  why can t you  fix it yourself  https   t co 299w1yfbmu"
"negative","exactly      netflix will change this    they ll be forced to  the market won t accept it  too many people  airplay  https   t co k0xdqfwggr"
"positive","streaming to subscriptions  video games enter new frontiers   consumer  amp  retail  new york  ap    the video game ind  https   t co p0qtt59dqa"
"positive","rt  devansh92139903  visit my website  like share and subscribe for latest updates https   t co cmowxetwvr  subscribe  website  visit  shar "
"negative","iphones for sale iphone 8 64gb black us used for sale at 140k iphone x 256gb black us used for sale at 235k  pm if  https   t co 1uspcwoskq"
"positive"," bible verse found with identity in christ daily by  roboticode for  android  iphone  kindle   dailyinspiration https   t co zxeoqtomdh"
"negative","rt  impazrealtor  when you d been thinking about getting a phone cover to match your brand but your bestie beats you to the punch and sends "
"negative","amazing they i am sure did not think they would get caught     collegestudents busted for making  900k in  iphone f  https   t co mn84gzfboc"
"positive","how to save space on your  iphone by getting rid of all the clutter https   t co zhl7ohfakk  tweet4mee"
"positive","hey everyone enjoy our latest on how to take vacation photos   https   t co ljkhrvtjch   iphone  vacationphotos  https   t co sn1zivafn2"
"negative","will last night s gps date based rollover get you lost today    iphone https   t co po2utk3gtj https   t co 1gkunynihh"
"positive","free  today just for a limited time  added new temporarily free games apps gone free list for  apple  ios devices   https   t co qp2icrkc2x"
"neutral","balenciaga phone case iphone 6 6s plus 7 8 plus x xr xs max  realcasepeace https   t co op0arevkim buy now   https   t co locritlftd"
"positive","after all these visits to sydney  i finally managed to ride the ferry this time around and bring you this    iphone  https   t co ajm4pni4lg"
"neutral"," apple  iphone 8 plus  at amp t  64gb   space gra    by apple computer for  669 00 https   t co eazvrvjvsb"
"negative","a  dark picture of my  applewatchseries4 and  iphonexs   taken with  asuszenfone5q    zenfone  zenfotography  apple  https   t co lhgsp4bdci"
"neutral","if you ain t rocking a  iphone and  toyota  are you really  asian "
"positive","which advancement in technology in smart phones do you wish would happen faster  5g  ai  8k  smartphones  iphone  samsung  android"
"positive","are you looking for a japanese ios engineer  i will be the one who can help you  please contact me by email   iphone  ios"
"positive","the new era of not just smart phones   but intelligent devices   iphone  p30pro   huawie   apple  https   t co v9nuvztsfe"
"positive","did you know your  iphone has a level   open either the compass or measure app  depending on which update you have   https   t co su1kfnuxro"
"negative","how to block robocalls on iphone and android    https   t co sptilso9kt  robocalls  android  iphone"
"neutral","the race     london  theboatrace  race  sport  instagramhub  theboatrace2019  photooftheday  londoner  traveller  https   t co b7yoppbdjq"
"positive","rt  jtm22tech  have fun while learning to subtract game  math  techtalk  iphone  mathchat  teachers  tech  algebra  edtech  edchat https    "
"neutral","rt  ralcat1  need  phonecases design by ralufineart  check this out     phones  iphone  iphonexr  iphone8  iphonex  galaxys10  galaxya30  g "
"positive","have fun while learning to subtract game  math  techtalk  iphone  mathchat  teachers  tech  algebra  edtech  edchat https   t co sno0fwpvqu"
"positive","love food  get hipster  foodie  stickers   blogger  iphone  ios10  texting  imessage  imessageapp  imessagesticker https   t co biprxcyrr7"
"neutral","nobody    absolutely nobody    absolutely nobody about nobody     iphone owners   https   t co aiwkbgbtq5"
"positive","the library of congress  washington d c    washington  washingtondc  districtofcolumbia  dc  usa  america  https   t co 1fxqwx6wz0"
"positive","visit smart shopping and find the best  cheap and smart products online   https   t co vztmeficcl   nhl  smartphone  https   t co yv5ugh7bdd"
"negative"," touchscreen phone  tablet pc etc  gadgets  boystoys  gear  geeky  useful  edc  smartphone  travel  deals  life  https   t co zchptdcfmu"
"neutral"," gizmodo  iphone with  android    no way     "
"positive","   nowplaying r  w  lawrence   a comme amour from  tobiasvariano s  iphone by briptu rn ldd   music  polisi  cop  police  lagu"
"positive","visit my website  like share and subscribe for latest updates https   t co cmowxetwvr  subscribe  website  visit  https   t co vnyr5en6zu"
"positive","rt  hos houseos  next generation bms technology hos  smarthome  automation for bacnet bms walkthrough setup tutoria  https   t co zye2wcalzb"
"neutral","rt  katzdzynes   jackrussellterriers  pattern mauve or any color  iphone wallet  case https   t co icipmvkbes via  zazzle"
"neutral","the enchanted worlds  pretzel news e rapto  le app oggi gratis su app store   7 aprile   appgratis  appios  iphone  https   t co rb5bm4tout"
"positive"," bible verse found with words of the father daily by  roboticode for  android  iphone  kindle   dailyinspiration https   t co dkockoqq8f"
"positive","flower power      cactus  flower  flowers  yard  pink  grass  focus  aged  prickly  buds  apple  iphone  https   t co xgrxynaawq"
"positive","   nowplaying girl s generation   caribbean bay song from  tobiasvariano s  iphone by briptu rn ldd   music  polisi  cop  police  lagu"
"positive","study  chemistry   periodic  table  stickers rock   blogger  iphone  ios10  texting  imessage  imessageapp  school https   t co d1gjrryjlg"
"positive","uhhh guys   my phone is acting weird      humor  imadeafunny  siri  iphone  apple https   t co ytgrxhhdjt"
"positive","rt  donatelife  95k people are on the national transplant waiting list  waiting for a donor kidney  amp  a 2nd chance at life  here s how you c "
"negative","skype makes group call limit to 50 people at once https   t co zgdndvrcuu  skype  iphone"
"positive","took a trip  with family  down to  hamburg  hafencity  made a couple of new shots with  iphone  edited 1 into  https   t co yddl65idqp"
"positive","   nowplaying elfa s singer   minang medley from  tobiasvariano s  iphone by briptu rn ldd   music  polisi  cop  police  lagu"
"positive","blue turquoise girls  volleyball clear  iphone 6 6s  case  https   t co y1sjkn65ad"
"negative","rt  katzdzynes  girly  basketball  otterbox symmetry  iphone 8 7  case  https   t co vmywby13du"
"positive","rt  katzdzynes  purple white school  volleyball team colors girly  otterbox  iphone x  case https   t co 4j6jqebgrx"
"positive","rt  dejanmolan  have you ever heard of a notch less wallpaper   try it out and let me know if you like it        notch  less  notchless  wa "
"positive","have you ever heard of a notch less wallpaper   try it out and let me know if you like it        notch  less  https   t co y0y3zlw41l"
"negative","i really miss 3d touch on  iphonexr  iphone  apple"
"positive","rt  141 games  kickball dribble  free now on  itunes  sundaymorning  iphone  soccer  appstore  games  indiegame  indie  mobilegame  videoga "
"positive","kickball dribble  free now on  itunes  sundaymorning  iphone  soccer  appstore  games  indiegame  indie  mobilegame  https   t co 42kfvt9dag"
"positive"," iphonecase  iphone  apple  smartphonecase princess mermaid marios iphone case just  12 20 https   t co 5thzavtrbo"
"positive","hey apple lovers check out our design if you like it support us  homenext7  if you  do decide to get one it ships o  https   t co q8yb75i8vt"
"positive","rt  katzdzynes  pink bright yellow girls   softball  otterbox  iphone  case w custom name  amp  jersey number https   t co ngdw61qwnh https   t "
"positive","have a super sunday       toprated  april  sales   friend  happy  shopaholic  instagram  shop  instadaily  ipad  https   t co rbmgi6r6q9"
"positive","rt  itsallwidgets  new  flutter app    earthrise     earthriseapp  android  iphone https   t co 6afqoombv6"
"negative","researchers want to store excess renewable energy as methane  android  iphone  phone  phones  mobile  apple  https   t co e3dttw34pi"
"positive","australia has passed a sweeping law to punish social media companies for not policing violent content  here s what  https   t co pyi8zrp1gx"
"positive","fun new multiplication game app  https   t co putg4pcuov  math  techtalk  iphone  ipod  mathchat  teachers  tech  algebra  edtech  edchat"
"positive","rt  urbansciencesin  latest macos update  10 14 4  provides support for  air quality index in maps for us  uk and india   macos  this is si "
"positive","new  flutter app    earthrise     earthriseapp  android  iphone https   t co 6afqoombv6"
"positive","name  tulip bloom rising case mate  iphone case https   t co igf9moa45y via  zazzle  flowers  giftsforher  https   t co rrc3vrh6sa"
"positive","rt  thecoralcentre  wow  iphone xs camera is amazing     newtoy  coralreef  coralreeftank  reef  reeftank  ocean  soft  stunning  ukgrown   "
"negative"," apple i m an apple user for the last 10 years i m not happy with the current generation iphones   stop advertising  https   t co bstjzuxitl"
"negative","rt  teamvane   desert night sky  wallpaper  iphone  android  background  followme  myfavwallpaper https   t co iecgahuhn1 https   t co dla6 "
"negative","desert night sky  wallpaper  iphone  android  background  followme  myfavwallpaper https   t co iecgahuhn1 https   t co dla6pf8l64"
"positive","ok  apple you finally win me for life with  iphone  i accidentally just said to my phone  hey siri open notificatio  https   t co sblorxitso"
"negative","lost phone  here s how to save data on  android   iphone https   t co hc34iqkxau"
"negative","late afternoon light looking towards the shard  shot on  iphone  theshard  london https   t co osiwmbovjy"
"neutral"," airplay y netflix ahora no son compatibles  https   t co hoew9opitf  apple  iphone"
"negative","dropped your  iphone in the lake or the toilet  lost hundreds of photos  call ipad rehab    ipad rehab   a fascinat  https   t co wzxzglyiz8"
"negative","mysterious blue nebula  it s all hidden in my latest ahmes phone hd wallpaper   grab it free at  https   t co borgnxfeoz"
"positive","rt  bluelynxonline  apple airpods with wireless charging case  more magical than ever  https   t co pypwojnyk4  apple  airpods  iphone  ins "
"positive"," happy  kids happy  parents  https   t co ireoodyvza    word  games  children  app  appstore  ios  ipad  iphone  https   t co idfoqbyxsc"
"negative","lost phone  here s how to save data on  android   iphone https   t co tlnhege2ca"
"positive","  new  tropical  flora  summer  mood  design  iphone  xsmax  cases   https   t co lsbmbykqkb     design by  https   t co 74sgoldwqq"
"positive","welcome welcome   single by warnp  warnp  therealwarnp  philosopherentertainment  philosopherent itunes   https   t co 7g6up7cj5i"
"negative","scheme to swap  fakeiphones adds up to  900 000 loss for  apple  prosecutors say https   t co w9jw1rpa3f  iphone  https   t co vu20hdgkki"
"positive","hey guys  kindle e reader https   t co rpgttodmsn  shopping  price  car  money  coupon  tv  video  aws  prime  https   t co g9ujffcc0y"
"positive","we would like to wish you an amazing day  make every minute count  tls  today  iphone  accessories  news  life  https   t co eipujybltf"
"positive","apple s airpods are the best selling wireless earbuds globally people can t get enough of apple s airpods  https   t co mp1wibiukf"
"positive","hey guys  fire tablets https   t co 2ij5ontciy  shopping  price  money  coupon  car  tv  video  aws  prime  https   t co 3hei3sz0qd"
"neutral","price drop   digits tape calculator  on sale for  iphone  ipad  3 99  gt  gt   1 99 https   t co ouyveuxdlb https   t co ur4ej4s5wq"
"positive","rt  hos houseos  next generation bms technology hos  smarthome  automation for bacnet bms walkthrough setup tutorial for  appletv   iphone  "
"positive","apple airpods with wireless charging case  more magical than ever  https   t co pypwojnyk4  apple  airpods  iphone  https   t co lizaq5tvrp"
"neutral","i dn got used to not havin a home button anymore   iphone"
"negative","boo   did i scare you     birds bees flowers n trees  twitter  iphone  gorgeous  instacool  iloveu  cats  cat  https   t co efswpf0hme"
"neutral","day 6   daily drawings using  adobedraw on my  iphone using my finger     check out  elijahcrumpet on  youtube     https   t co sw3wy3xaly"
"positive","new cuties on the  shop  click  https   t co 33kpd4lluk   etsy  etsyseller  etsyshop  etsyeurope  handmade  https   t co ianqc9g6kz"
"neutral","airpods 1 in sconto su amazon ed ebay  prezzo da 149 99  https   t co mfd3igkv1l  pcexpander  cybernews  apple  https   t co 5ftanz9ngr"
"positive","rt  rbphotography x  on my walks other day came cross some pretty pink flowers     photographyislife  photography  lovephotography  iphone "
"positive"," bible verse found with prayers  amp  blessings daily by  roboticode for  android  iphone  kindle   dailyinspiration https   t co g1jbvebbqt"
"neutral","facebook game ranking no 4 8 ball pool miniclap https   t co oeebzlrbjb  jamjamtv  game  facebook       iphone  ipad  googleplay    jamjamtv"
"positive","adhm dialogue in my voice            expressions  ib   revolverranii  acting  ib   r anshuman  love  bollywood  https   t co 1gctkobiiv"
"positive","it s april 07  2019 at 09 45am  good morning unlocker  we unlock all  apple  iphone 7   7 plus  sprint  tmobile  att instantunlock  nfb"
"positive","be fearless hat iksmarkets   things and more shop   https   t co db18q66btq tag  follow and share   fashion  https   t co bmkiqpmzzc"
"positive","sun rise   oneplus 6 photography     javedakhtarrr  iphone  iphonexsmax  apple  android  ios  youtube  https   t co cszteluzct"
"positive","on my walks other day came cross some pretty pink flowers     photographyislife  photography  lovephotography  https   t co k9awnwn8lp"
"neutral","independent repair  enablement  would probably push the overall consumer s cost of using the ecosystem up  and the  https   t co uul0vyu6h3"
"positive","rt  shatapirus          the art of eros ii  japanese edition  by baku shibutani https   t co qb8uckjyy0  content introduction this book is "
"positive","3  nuclear is not affordable  1   wtf with  iphone argument  investors  amp  consumers paid to develop the iphone  not  https   t co fi3ekgtvpj"
"positive"," bleach  iphone  anime bleach wallpaper big update   you can get 2013 calendar   https   t co o0vwtkfgg2 fit iphone  https   t co ff8dib4qky"
"negative","huawei mediapad m5 8   4g  32 go  4 go de ram  android 8 0  bluetooth  gris  https   t co bdgifho7sm  iphone   ipad   huawei   smartphone"
"positive","overview of your stocks on the  iphone  supports all major stock exchanges  calculate p amp l  incl  fees  amp  dividends    https   t co aehio2o0uh"
"negative","museum of liverpool shoot using iphone  streetstyle  iphone  liverpool  blackandwhite https   t co whu8vzv0rg"
"positive","primary school kids have  iphone   man when i was their age i used to spread pva glue on my hands  wait for it to dry and peel it off  "
"positive","oyosuogg wireless bluetooth keyboard compatible with 2018 ipad pro 11 12 9 10 5  ipad air  ipad mini  iphone and ot  https   t co ch89ntjkuk"
"positive","great new quadratic calc app https   t co l6xgk2ed4y  math  techtalk  iphone  ipad  mathchat  teachers  tech  https   t co gpdezlz5cy"
"negative","how to set up a custom voicemail greeting on your iphone  android  iphone  phone  phones  mobile  apple  leomessi  https   t co 91o9s283wi"
"positive","apple may be planning to break up itunes with new music and podcast apps for mac  android  iphone  phone  phones  https   t co dvovboysmb"
"positive"," sonossupport just wondering if it s worth the buy  my bose sound bar got busted after 2 years  is fully compatible  https   t co bcln2h8z1x"
"positive","next generation bms technology hos  smarthome  automation for bacnet bms walkthrough setup tutorial for  appletv   https   t co 1khyw2poc3"
"positive","how to learn swift programming   ultimate beginners  guide  swift  swiftlang  swiftprogramminglanguage  ios  iosdev  https   t co j8iuqqubw6"
"positive","iphone users should please come and watch this video before they finish we android users biko  nonsense phone  https   t co dkk1fszdje"
"neutral","rt  katzdzynes  girls   volleyball pink or any color  otterbox  iphone 6 6s  case  https   t co nz4egeut33"
"neutral"," rt  iphone  wallpapers  iphonexsmax  iphonexs  iphonexr  wallpaper  ios  homescreen  background  backgrounds  https   t co 8uq1m0zpie"
"positive","adding an icon into a folder on  iphone is like a courtship ritual in the wild   you are constantly jiggling and da  https   t co 7ik9m3xaeu"
"positive","finally got my hands over this         now my phone can go for 10 hours straight for pubg         iphone  apple  https   t co jzxkhqzslr"
"positive","check out our new  phone cases   we re adding at least 20 new designs a week     iphone  case  samsung  xddesigns  https   t co dyynyxvjg8"
"neutral","updated pythagorean calc  app https   t co jizwqhioai  math  techtalk  iphone  ipad  mathchat  teachers  tech  https   t co gbfivpr8vf"
"negative","get the products you want today for a small weekly fee  tv s  washingmachines  cookers  beds  settees  ps4  iphone https   t co 3mv2tynqxd"
"positive","editor rating 5 5 stars  teachers and parents are going to love bongo s spelling packs https   t co 9ooyotr9eb  via  https   t co hovvtehdhc"
"positive","the top 12 best lease cell phone no credit check required  follow the complete guide here for more information   https   t co m1s1i5ratf"
"positive","get 25  off everything   decor  unique  design by kathrinmay https   t co gnzlhal64m via  society6  society6  https   t co 4jaeqynhfz"
"positive","rt  hisforhome   win an hp sprocket plus from  compatink1 to print your mobile snaps on the go       enter here   https   t co ueecknl4zw   "
"positive","armour   charge https   t co khso5u2qre  fusechicken stainless steel   lightning    cable 2m   unboxing 4 6 19  ad  https   t co c2dckgnuuf"
"positive","the avanco hear   affordable bluetooth hearing aid earbuds   google  earbuds  android  news  hearingloss  iphone  https   t co k3vt4lexpc"
"positive","win an hp sprocket plus to print your mobile snaps on the go       enter here   https   t co sxtxpu0cgk     comp  https   t co qoqk8tja8o"
"positive","ios 12 2 has a handy new timesaving feature for when your iphone or ipad breaks down read  zdnet  ios 12 2  iphone  https   t co x0mzfypizh"
"neutral","rt  iappsclub   college students allegedly scammed apple out of nearly  1m in iphone replacements    so apparently apple doesn t recognize "
"positive","purple white school  volleyball team colors girly  otterbox  iphone x  case https   t co 4j6jqebgrx"
"neutral"," iphonexs  iphone  iphoneography  photography  photograph  photoart  photographer  deerfieldbeach  photograph taken  https   t co 4wpwxzxtdt"
"positive","taika waititi will write and direct  time bandits  series for apple  https   t co 1d1ymmgnft   android  technology  iphone  coding  samsung"
"positive","apple iphone 11 render surface online  here s what is new   apple  iphone11  iphone  iphonerenders  smartnews  https   t co 7pv1aksz4w"
"neutral","girls   volleyball pink or any color  otterbox  iphone 6 6s  case  https   t co nz4egeut33"
"positive","this is how to track an iphone without them knowing  follow the complete guide here   https   t co jytp0d15wg  https   t co cs4wuxfibc"
"neutral","rt  gigi pqrs2928  today    iphone https   t co qr75qfzcyz"
"negative","girly  basketball  otterbox symmetry  iphone 8 7  case  https   t co vmywby13du"
"neutral","rt  mrbi   the london bridge               shotoniphone  iphone  tourist  ghana  capecoast  street  architecture  bike  yearofreturn2019 "
"negative","another ps5 leak  playstation 5 dev kit and controller revealed   the  gaming  community is desperately awaiting ne  https   t co wvmbth8z1k"
"positive","grab your old  new mobile from one of the most trusted old mobile seller  exchangemobi with emi option with bajaj f  https   t co an6l5ojoqo"
"negative","see how a  100 fake  iphone has the potential to wreak havoc with your network security   counterfeit  https   t co xgmgsestkl"
"positive","everything we know about apple s new phones  including two way wireless charging     iphone  apple  appl  https   t co n8qrup177m"
"neutral","wrapping up the 2nd semester with a trip to the north  in the golan heights    photo by  rami ab 012    israel  https   t co rw2iq8uugc"
"positive","so people who are moneyed run from  iphone to  huaweip30  u guys ain t loyal yaz "
"neutral","how to use airdrop from your mac to iphone  osxlion  apple  mac  iphone  ios7 https   t co k7xwxyjks7"
"positive","my iphone created an album just for animals why do i think this is the coolest thing ever  iphone  forever https   t co b43xmwf8jp"
"neutral","how storytelling imbues life with meaning  android  iphone  phone  phones  mobile  apple  leomessi  katyperry  https   t co qxferonvo1"
"positive","amazon s plan to launch thousands of satellites is accelerating a new space race   and one expert knows how everyda  https   t co 5eyn4eylkm"
"positive","this is what i installed on my  iphone to learn  swift programming language  sedona   compile swift program by keta  https   t co tc7bnyw8xe"
"negative","scheme to swap fake iphones adds up to  900 000 loss for apple  prosecutors say https   t co b3onosejmj  iphone  https   t co lvdthgqmuy"
"positive","mini valet and the paintwork polished up by hand  valeting  lincolnshire  humberside  polish  shine  gloss  depth  https   t co r7gvtctotk"
"positive"," win an hp sprocket plus from  compatink1 to print your mobile snaps on the go       enter here    https   t co shktl1obnz"
"negative","ios flaw makes it easy to message anyone from a locked iphone  apple  iphone  siri  hack https   t co iywsjx7cfs"
"negative","rt  srenderr  hmm    this is hell of perfectionists    apple  iphonexl  iphone  iphonexsmax   iphone2019 https   t co bgtrjzkbum"
"neutral","rt  ecenazssdestan  iphone telefonum     iphone not defterim   iphone  iphone7plus  iphonetelefon  iphonered https   t co hpdtpvaovq"
"positive","upgraded my phone contract and got me an iphone yehaa    winning  blogger  iphone"
"neutral"," college students allegedly scammed apple out of nearly  1m in iphone replacements    so apparently apple doesn t r  https   t co dr2xpfkxdd"
"positive"," intel  scoffs at  report that its  5g  modems won t  be  ready for  apple s  2020  iphone  lineup  via  https   t co v7tk0otut7"
"neutral","it s the  yearofthepig and the final  blackparty weekend in  nyc  wearing vintage  nasrltypig and thinking back to  https   t co zyi3qczhqk"
"positive","works wonderfully    available in our store   https   t co eefar26kuk  cellphone  iphone  smartphone  samsung  https   t co 3vfs1vfsom"
"positive","price drop   dot line  on sale for  iphone  ipad  0 99  gt  gt  free https   t co t5082aygwi https   t co l7oqd9hvcq"
"positive","wow  iphone xs camera is amazing     newtoy  coralreef  coralreeftank  reef  reeftank  ocean  soft  stunning  https   t co av7caee5in"
"neutral","i m shook    so i m getting my phone battery replaced today and there is a possibility that if the command strips b  https   t co mzkfdvsp6j"
"positive","rt  wfbrother  cool colours  triple camera  copied from an android phone  huh    iphone11  iphone  tech https   t co idt4qwaeot"
"positive","cool colours  triple camera  copied from an android phone  huh    iphone11  iphone  tech https   t co idt4qwaeot"
"neutral","rt  ar72014   iphone  ipad  wallpapers  ios  homescreen    iphone2g clownfish stock  wallpaper modd for  ipad devices  download   https   t "
"positive","rt  paulbutlerbw  loving the idea that the latest  iphone update includes the ability for  siri to play videos from your ios device onto  a "
"positive"," bible verse found with prayers  amp  blessings daily by  roboticode for  android  iphone  kindle   dailyinspiration https   t co ybcjhjxakr"
"negative","facebook game ranking no 3 farm heros saga https   t co zksq2udtc5 https   t co oeebzlrbjb  jamjamtv  game  https   t co of6ljeajjw"
"positive","rt  horseracehub   kentuckyderby is coming   you can use the best mobile app for  iphone and  ipad    that s the  horseracing tool with a l "
"positive","good    apple  iphone 5c 16gb  white   sprint   touchscreen  smartphone   free ship  https   t co 0mvdwojmze price   https   t co qpgqdjmz2x"
"neutral"," wallpapers  homescreen  lockscreen    wallpaper    iphonexsmax     iphonexr     iphonexs     iphonex   iphone     https   t co xhlmhbf9t9"
"positive","rt  financetwitting  how two  engineering  students cleverly scammed  900 000 from  apple using  30 fake iphones   https   t co tsulzxfem1 "
