"","airline_sentiment","airline_sentiment_confidence","negativereason","negativereason_confidence","airline","text","tweet_coord","tweet_location","user_timezone"
"4060","negative",1,"Customer Service Issue",1,"United","@united On top of this, a CSR went ahead and hung up on me after I called United to discuss this.",NA,NA,"Atlantic Time (Canada)"
"4061","negative",1,"Lost Luggage",1,"United","@united now finally in memphis. Landed 30 minutes ago. Still no bags. Paying for a service that just gets worse...",NA,"Memphis","Central Time (US & Canada)"
"4062","negative",1,"Customer Service Issue",0.6668,"United","@united thanks for a terrible experience at EWR. Customers should be treated as a priority, not as an inconvenience #tryagain",NA,"NYC","Eastern Time (US & Canada)"
"4063","neutral",0.617,NA,0,"United","@united Some 3rd party service known as EZEE flights. A man, who confirmed he was born in India, told me his name was Steve Wilson.",NA,NA,"Atlantic Time (Canada)"
"4064","negative",1,"Can't Tell",0.3444,"United","@united The third wheelchair is broken! http://t.co/tvk0PyxQv5",NA,NA,"Pacific Time (US & Canada)"
"4065","positive",1,NA,NA,"United","@united She met me from customer service at the arrival of flight UA3787 PVD-IAD. Thanks, you guys have really handled this storm!",NA,"Hampton Roads, Virginia","Atlantic Time (Canada)"
"4066","positive",0.656,NA,NA,"United","@united ooh thanks!",NA,"Chicago, IL","Central Time (US & Canada)"
"4067","negative",1,"Late Flight",1,"United","@united my flight was at 1 pm. Still at the airport gee what service.  Do they care, nope.  Delayed until 7:55.",NA,NA,NA
"4068","negative",1,"Flight Booking Problems",0.6444,"United","@united very disappointed in CC. Purchased ticket online w/ voucher and charge full amnt. Would not hold price after refund. Unacceptable",NA,NA,NA
"4069","negative",1,"Can't Tell",0.6985,"United","@united exactly it states a secure document is a nexus card. It does not state a passport must always be also presented. Read it",NA,NA,NA
"4070","neutral",0.6771,NA,0,"United","@united We were told by United to ""carry over/carry back"" for the refund.",NA,"Canmore","Mountain Time (US & Canada)"
"4071","neutral",0.6327,NA,0,"United","@united no, I had to leave for work. Would have not been possible. So I would love to have this replaced now",NA,"Washington DC","Eastern Time (US & Canada)"
"4072","negative",1,"Customer Service Issue",1,"United","I feel completely cheated @united. I read your commitment to customer service via website and def did not get service suggested there.",NA,"Berkeley, CA","Arizona"
"4073","negative",1,"Can't Tell",0.3568,"United","@united @annricord 0162431184663.
3 of your agents said we would be refunded. Agents said United should never have sold us the ticket.",NA,"Canmore","Mountain Time (US & Canada)"
"4074","negative",0.686,"Flight Attendant Complaints",0.686,"United","@united if your air traffic crew could get their shit together no one would notice the rudeness of the ground staff",NA,"Usually in a plane","Eastern Time (US & Canada)"
"4075","negative",0.6695,"Can't Tell",0.3356,"United","@united IT-problems with the link? #3thparty",NA,"Flightlever 340","London"
"4076","negative",1,"Late Flight",1,"United","@United: I feel very well informed. yes, the flight is indeed delayed. Thank you. http://t.co/FuCHZRZjg5",NA,"San Francisco, CA",NA
"4077","negative",1,"Customer Service Issue",0.6667,"United","@united Why do I pay more for Coach Plus to be told preboarding that all overhead bins will be full for me",NA,"Los Angeles",NA
"4078","negative",1,"Customer Service Issue",1,"United","@united can I get some help changing a ticket.  40 minutes on hold and counting....",NA,NA,"Pacific Time (US & Canada)"
"4079","positive",1,NA,NA,"United","@united thanks for all the help! Totally appreciate it and you made it super easy too",NA,"San Francisco, CA","Pacific Time (US & Canada)"
"4080","negative",1,"Customer Service Issue",1,"United","@united was told by Supervisor that United disconnected their customer support # so there was nobody to address it now. #igiveup",NA,"San Antonio","Central Time (US & Canada)"
"4082","negative",1,"Late Flight",1,"United","@united $7 for wifi just so I can tell my family I'm gonna be Late Flight cause i had to sit in a grounded plane for the past two hours...",NA,"California","Pacific Time (US & Canada)"
"4084","negative",1,"Damaged Luggage",1,"United","@united so, not only were you Late Flight, you broke my luggage handle. You paying for a new one? http://t.co/nYVV1X3d67",NA,"Washington DC","Eastern Time (US & Canada)"
"4086","negative",1,"Customer Service Issue",0.6522,"United","@united once again your customer service rep was rude!   I asked a question and in turn got attitude.  Jane was no help.  Disgusted again!",NA,NA,NA
"4087","negative",0.6537,"Can't Tell",0.6537,"United","@united can you not see the thread?",NA,NA,NA
"4088","negative",1,"Customer Service Issue",1,"United","@united poor old United: never seem to get the response right :)",NA,NA,NA
"4089","negative",1,"Flight Attendant Complaints",0.6906,"United","@united obviously the staff at EWR - United or otherwise have not seen your ads about - being FRIENDLY and helpful #ewr worst airport",NA,"Usually in a plane","Eastern Time (US & Canada)"
"4090","negative",0.6317,"Flight Booking Problems",0.6317,"United","@united also why can't I pre-select seats on SFO-&gt;YYZ flight? I'm a Canadian Flight Booking Problems on http://t.co/aZltJhf7lv.",NA,"toronto","Atlantic Time (Canada)"
"4091","neutral",1,NA,NA,"United","@united does forelock guarantee the fare only or fare &amp; seats?",NA,"toronto","Atlantic Time (Canada)"
"4092","positive",1,NA,NA,"United","@united thanks! :)",NA,NA,"Central Time (US & Canada)"
"4093","negative",1,"Can't Tell",0.6392,"United","Hypocrisy RT @united @gg8929 I'm sorry, we're not able to offer a full refund because the exchange rate is not what you were hoping for. ^KP",NA,"✈","Eastern Time (US & Canada)"
"4094","negative",1,"Late Flight",1,"United","@united I shouldn't have to spend my own $$$ on a hotel because of a weather delay. The weather being something COMPLETELY OUT OF MY CONTROL",NA,"California","Pacific Time (US & Canada)"
"4095","negative",1,"Lost Luggage",0.6612,"United","@united  eventually.  You should approach bags like @AlaskaAir  they get it.",NA,NA,"Mid-Atlantic"
"4096","negative",0.6673,"Late Flight",0.3345,"United","@united What if my NYC flight is delayed and I miss my connection to Sacramento from Chicago?",NA,"California","Pacific Time (US & Canada)"
"4097","negative",1,"Customer Service Issue",1,"United","@united said they would give us a refund. 30 days Late Flightr NO refund.",NA,"Canmore","Mountain Time (US & Canada)"
"4098","negative",1,"Bad Flight",0.6616,"United","@united how can you not know the weight of our plane after us sitting on the plane for 2.5 hrs? Not convinced your company is safe for flt.",NA,"Ventura, California","Pacific Time (US & Canada)"
"4099","negative",1,"Customer Service Issue",1,"United","@united we showed up to our flight several hours early. Tried to call &amp; was on hold 15 min b/f call disconnected.",NA,"San Antonio","Central Time (US & Canada)"
"4100","negative",1,"Customer Service Issue",0.7055,"United","@united if your policy changed, you must advise at the time of purchase.  Same if you choose to vary it by airport!  We want a FULL refund!!",NA,NA,NA
"4101","negative",1,"Can't Tell",0.696,"United","@united wanted to, but you Cancelled Flightled my tickets.... They were too special i guess even for united.",NA,NA,NA
"4102","negative",1,"Flight Booking Problems",1,"United","@united I'm 0/3 for Flight Booking Problems without major problems. 0% isn't bad!👎👎",NA,NA,NA
"4103","negative",1,"Lost Luggage",1,"United","@united @el_ingeniero don't check your baggage if you don't have to.  They will lose it!",NA,NA,NA
"4104","negative",0.6782,"Late Flight",0.3678,"United","@United I'm hoping we don't miss our LAX - ITO connection. Not looking forward to being stuck at LAX overnight with our team....AGAIN!",NA,"Hilo, HI","Hawaii"
"4105","negative",0.6907,"Can't Tell",0.6907,"United","@united well perhaps you could highlight where that is stated.  We travel between Canada &amp; USA on United with only Nexus",NA,NA,NA
"4106","negative",1,"Late Flight",0.6655,"United","@united how can you not know, after two hours of us sitting on the plane with no bags off loaded, the planes weight?!",NA,"Crowley, Louisiana",NA
"4107","negative",1,"Late Flight",1,"United","@united You make it hard to fly with you. Delayed over an hour and now the plane  is turning around &amp; heading back to the gate. #connection?",NA,"Hilo, HI","Hawaii"
"4108","negative",1,"Damaged Luggage",0.6367,"United","@united  Serious firing needs to happen at HNL. They broke the wheelchair you loaned me after you broke mine! http://t.co/bT37KyrByJ",NA,NA,"Pacific Time (US & Canada)"
"4109","negative",1,"Customer Service Issue",1,"United","@united Call customer service and of course they just say ""theres nothing we can do"" and then offer a transfer and disconnect the line.",NA,NA,"Atlantic Time (Canada)"
"4110","negative",0.6736,"Customer Service Issue",0.3539,"United","@united Now submitted for the third time, please check and confirm receipt. Have taken screen shots in case it disappears again. Thanks",NA,"North West of England",NA
"4111","negative",1,"Cancelled Flight",1,"United","@united if our already rescheduled flight is Cancelled Flightled is our hotel room paid for?",NA,NA,NA
"4112","negative",0.6808,"Customer Service Issue",0.3559,"United","@united Classic",NA,NA,"Amsterdam"
"4113","positive",1,NA,NA,"United","@united Elizabeth at Washington Dulles just hooked me up with a new connecting flight at my gate! I'm super pleased!",NA,"Hampton Roads, Virginia","Atlantic Time (Canada)"
"4114","positive",0.6661,NA,NA,"United","@united Thanks!",NA,"The Netherlands","Amsterdam"
"4115","neutral",0.6954,NA,0,"United","@united Does the economy plus cabin also qualifies as a ""premium"" cabin?",NA,"The Netherlands","Amsterdam"
"4116","negative",1,"Late Flight",1,"United","@united flight UA3364 been sitting on tarmac for 30 mins with no report as to why...any input?",NA,NA,NA
"4117","negative",1,"Customer Service Issue",0.339,"United","@united A 3rd party service you use to sell your tickets has ripped me off. Excellent service United is offering.",NA,NA,"Atlantic Time (Canada)"
"4118","neutral",1,NA,NA,"United","@united no thanks",NA,"san diego",NA
"4119","neutral",0.6596,NA,0,"United","@united Yesterday, I'm sorted now.",NA,"US","America/Chicago"
"4121","negative",1,"Flight Booking Problems",0.6701,"United","@united If you have had any issues with  United Airlines PLEASE retweet. Paid for a full fight ticket and was given a standby instead.",NA,"Canmore","Mountain Time (US & Canada)"
"4122","negative",1,"Customer Service Issue",0.6882,"United","@united just tried to log in and was told e-mail log in not currently available",NA,"North West of England",NA
"4123","negative",0.6484,"Flight Booking Problems",0.3297,"United","@united @gg8929 so why did you Cancelled Flight tickets for thousands of people when you didn't like the exchange rate? #doublestandards",NA,"between Warsaw and London","London"
"4124","neutral",0.6632,NA,0,"United","@united do you have an e-mail address I can write my account to? Might be less likely to disappear",NA,"North West of England",NA
"4125","negative",1,"Customer Service Issue",1,"United","@united so I wasted 40mins filling in 2 online forms you are telling me you didn't receive, how do I know this won't happen this time?",NA,"North West of England",NA
"4126","neutral",1,NA,NA,"United","@united 877 from amsterdam to ewr, 02.27.2015, 737-300.",NA,"The Netherlands","Amsterdam"
"4127","negative",1,"Late Flight",1,"United","@united stuck here in IAH waiting on flight 253 to Honolulu for 7 hours due to maintenance issues. Could we have gotten a new plane!?!? Fail",NA,NA,NA
"4128","negative",1,"Flight Booking Problems",0.3446,"United","@united @UnitedAppeals @gg8929 What kind of hypocrisy is that? Only Cancelled Flightling tickets with bad exchange rate if in your advantage #united",NA,NA,"Amsterdam"
"4129","negative",1,"Customer Service Issue",0.6317,"United","@united No. The entire problem here is that I was never sent anything via email and only given a Flight Booking Problems number over the phone.",NA,"NYC, Toronto ","Quito"
"4130","negative",1,"Customer Service Issue",0.6359,"United","@united calling that number was useless. Heading to the airport now to pick up my bags. this whole situation seems like a real joke.",NA,"Conway, AR",NA
"4131","negative",0.6957,"Customer Service Issue",0.6957,"United","@united They couldn't get me first class on any of their flights so I just rebooked myself.",NA,"Costa Mesa","Pacific Time (US & Canada)"
"4132","neutral",0.6722,NA,NA,"United","@united but the gate agent and club staff got me priority standby for next so might only be minor disaster...#travelingwithsmallkids",NA,"Baton Rouge, LA",NA
"4133","negative",1,"Can't Tell",0.6553,"United","@united I'll be sending/posting complete details of the circumstances surrounding this matter.  United airlines should be ashamed.",NA,"New Canaan, Ct",NA
"4134","negative",1,"Bad Flight",1,"United","@United Hidden City forces me into crappy seat even though exit row is available on the first leg. Your support cannot fix. :-(",NA,"San Bruno, CA","Pacific Time (US & Canada)"
"4135","positive",0.6471,NA,NA,"United","@united JT thanks for your help I’ll complete the form once we are back home",NA,"Ontario, Canada","Eastern Time (US & Canada)"
"4136","negative",1,"Bad Flight",0.3544,"United","@united missed it.  Incoming on time, then Sat for 30, then no jetbridge driver...missed a 45min connection from an on time flight...",NA,"Baton Rouge, LA",NA
"4137","neutral",1,NA,NA,"United","@united @gg8929 Ladies and gents - United Airlines...",NA,"London, UK",NA
"4138","positive",1,NA,NA,"United","@united You might be dealing with frustrated passenegers. hope you all have a great day :) thank you very much for an amazing airline :)",NA,NA,"Eastern Time (US & Canada)"
"4139","neutral",1,NA,NA,"United","@united Allright! Last question : the power outlets on my flight are available in the premium cabin. Does that include economy plus cabin?",NA,"The Netherlands","Amsterdam"
"4141","negative",1,"Cancelled Flight",0.6442,"United","@united yes still need assistance I don't have a flight home due to change in flight u made I miss all connections !",NA,"Nova Scotia","Eastern Time (US & Canada)"
"4142","neutral",1,NA,NA,"United","@united I believe you have to follow me in order for me send you a DM",NA,"Southern New Jersey","Eastern Time (US & Canada)"
"4143","negative",1,"Customer Service Issue",0.6473,"United","@united thanks! We would like an apology and a full refund. Please confirm when we will receive.",NA,NA,NA
"4144","neutral",1,NA,NA,"United","@united Hi, can you email me here so i can share the details? Thanks. frank@postsecret.com",NA,"Germantown, MD","Eastern Time (US & Canada)"
"4145","negative",0.66,"Flight Booking Problems",0.33,"United","@united But I got a bad exchange rate so want my money back. Please can you refund without penalty.",NA,NA,"Amsterdam"
"4146","negative",1,"Late Flight",0.6815,"United","@united My flight UA1159 to Denver for #RMOUG15 has been re-cheduled 5 times.
If I am no show, you'll know why! Ridiculous.",NA,"San Francisco","Pacific Time (US & Canada)"
"4147","negative",1,"Customer Service Issue",1,"United","@united you're just using automated  responses and don't have the decency to actually care/respond",NA,"Loving the Languageof Literacy","Eastern Time (US & Canada)"
"4148","negative",1,"Customer Service Issue",1,"United","@united JT the issue is with missed connections early gate closings and zero concern from customer service",NA,"Ontario, Canada","Eastern Time (US & Canada)"
"4149","negative",0.6714,"Late Flight",0.6714,"United","@united here I was thinking how I could say so many nice things after getting upgraded, but then you delayed my flight... It's ok!",NA,"Denver, CO","Mountain Time (US & Canada)"
"4150","neutral",0.6801,NA,0,"United","@united Can you explain how it rewards us elite Premiere 1K members?",NA,"New York, NY","Pacific Time (US & Canada)"
"4151","neutral",0.6663,NA,NA,"United","@united for our birthdays my fiancé &amp; I want to travel Late Flight April. You're our fave airline but Frontier has this: http://t.co/uayWrr45as :-/",NA,"Chicago, IL","Central Time (US & Canada)"
"4152","neutral",1,NA,NA,"United","@united I’m resending the confirmation code in a DM",NA,"Ontario, Canada","Eastern Time (US & Canada)"
"4153","negative",1,"Customer Service Issue",0.6432,"United","@united I did DM the details back on 02/14 when this started with phone number to reach me no reply either online or by phone",NA,"Ontario, Canada","Eastern Time (US & Canada)"
"4154","neutral",0.3666,NA,0,"United","@United Airlines' CEO Jeff Smisek: Disloyal to Loyal Workers http://t.co/0cevY3P42b via @HuffPostBiz",NA,"Sacramento","Pacific Time (US & Canada)"
"4155","neutral",1,NA,NA,"United","@united The guidelines say 10x9x17, my bag is 20x15.7x8.7, so it's a bit taller than the guidelines. Is that gonna be a problem?",NA,"The Netherlands","Amsterdam"
"4156","positive",0.6479,NA,0,"United","@united thank you! I wish the lady in Little Rock had told me that in the morning when I asked her",NA,"Conway, AR",NA
"4157","negative",1,"Lost Luggage",1,"United","@united no claim number. Haven't been back to iAd baggage since. Is there a phone I can call to speak to someone?",NA,NA,"Eastern Time (US & Canada)"
"4158","neutral",1,NA,NA,"United","@united do you think there Will problems at Newark, NJ on Saturday due to expected snow?",NA,"Nederland","Amsterdam"
"4159","neutral",1,NA,NA,"United","@united Got it.  I am following the United page.",NA,"Southern New Jersey","Eastern Time (US & Canada)"
"4160","positive",0.6531,NA,0,"United","@united Thank you for the speedy response! I figured it may be something of that nature. You guys and your ""fine print,"" haha",NA,"North Hollywood, CA",NA
"4161","negative",1,"Customer Service Issue",0.6559,"United","@united worst service ever 😈",NA,"san diego",NA
"4162","negative",1,"Customer Service Issue",1,"United","@united thanks for your attention. I would actually like to make a specific complaint about customer service at DCA. What is my best option?",NA,NA,"Eastern Time (US & Canada)"
"4163","negative",1,"Can't Tell",0.6542,"United","@united can't believe United can't find someone to just simply check a seat back for a missing passport. Loved United but debating choice",NA,NA,"Quito"
"4164","negative",1,"Can't Tell",0.6406,"United","@united I am furious.  You're firm is a disgrace. Despite all our efforts you did zero to protect our daughter. All alone at night # United",NA,"New Canaan, Ct",NA
"4165","positive",1,NA,NA,"United","@united holy high speed internet batman!  Speeds at United Club at IAD are insanely fast!  Thanks",NA,"NJ","Eastern Time (US & Canada)"
"4166","negative",1,"Flight Booking Problems",1,"United","@united Your website Flight Booking Problems experience is an obnoxious upsell-laden disaster for anyone with half a brain.",NA,"So Cal","Pacific Time (US & Canada)"
"4167","neutral",0.6767,NA,0,"United","@united  @MrAndyEp like 2 weeks after my flight!?!? Creative!",NA,NA,NA
"4168","negative",1,"Late Flight",0.6998,"United","@united Flt 4487 is having some MAJOR delays bc ground crew was so SLOW. The flight crew has been terrific. Been 2 hours on the ground..😡...",NA,"Washington, DC","Eastern Time (US & Canada)"
"4169","negative",1,"Late Flight",0.667,"United","@united sorry, I hate united. i won't get to see my family until Thursday",NA,"Loving the Languageof Literacy","Eastern Time (US & Canada)"
"4170","positive",1,NA,NA,"United","@united Thanks for the timely service &amp; great staff getting my wife and me to and from Cancun this past week for our honeymoon.",NA,"Titletown, USA","Central Time (US & Canada)"
"4171","positive",0.6635,NA,0,"United","@united done just now, thanks.",NA,"North West of England",NA
"4173","negative",1,"Customer Service Issue",1,"United","@United Your customer service for Mileage Plus customers is a disgrace. I just spent 45 min on the phone to reset a pin number, with no luck",NA,"Washington DC","Eastern Time (US & Canada)"
"4174","neutral",0.6464,NA,0,"United","@united No, I do not. I was only given a Flight Booking Problems reference number.",NA,"NYC, Toronto ","Quito"
"4175","negative",1,"Can't Tell",0.645,"United","@united All these changes. Way to stick it to your Premiere 1K loyal customers. Why make things harder for those that loyal to you?",NA,"New York, NY","Pacific Time (US & Canada)"
"4176","negative",1,"Late Flight",1,"United","@united thanks for the offer, but I finally made it to my destination, albeit hours Late Flight.",NA,"chicago, il","Central Time (US & Canada)"
"4177","negative",1,"Cancelled Flight",0.6598,"United","@United Airlines Cancelled Flights OC FLL #flight today. $700 to switch. No notice no apology. We are done flying #UnitedAirlines.",NA,"Costa Mesa","Pacific Time (US & Canada)"
"4178","neutral",1,NA,NA,"United","@united can you send me another confirmation email?",NA,"Ravens Nation  51814","Atlantic Time (Canada)"
"4179","negative",1,"Can't Tell",0.3333,"United","@united it would be super if you paid as much attention to actual fliers as you do to credit card holders.",NA,"Denver","Mountain Time (US & Canada)"
"4180","negative",1,"Late Flight",0.6594,"United","@united I travel a lot and I get it. You're still my fave but EWR to Cleveland w/40 min layover to connect to DC = our best option? Come on.",NA,"Washington, DC","Eastern Time (US & Canada)"
"4181","negative",1,"Lost Luggage",1,"United","@united 3pm and my bags still not here. not even a courtesy toiletries kit. not the flight experience I was expecting, very disappointed.",NA,"Conway, AR",NA
"4182","negative",1,"Cancelled Flight",1,"United","@United Airlines Cancelled Flights OC FLL #flight today. $700 to switch. No notice no apology. Done flying #UnitedAirlines.",NA,"Costa Mesa, CA","Pacific Time (US & Canada)"
"4183","neutral",0.6957,NA,NA,"United","@united sorry, wrong link for the bag : http://t.co/pZAl4wtrEZ Thats the one i meant",NA,"The Netherlands","Amsterdam"
"4184","negative",1,"Bad Flight",0.6296,"United","@united flight 86 LAX-IAD, back rows NOT CLEANED prior to boarding. How gross is that to find used tissues in your seat?  Please.",NA,"NoVa","Eastern Time (US & Canada)"
"4185","positive",1,NA,NA,"United","@united thank you! 😊",NA,"Glasgow","London"
"4186","neutral",0.6523,NA,0,"United","@united take a lesson from @VirginAmerica , they know how to treat customers!",NA,"Brentwood, CA","Pacific Time (US & Canada)"
"4187","negative",1,"Customer Service Issue",1,"United","@united plus you horrible seating and poor customer service everywhere I've flown. now you take away the mileage program..horrible",NA,"Brentwood, CA","Pacific Time (US & Canada)"
"4188","negative",1,"Customer Service Issue",1,"United","@united you'd learn if you listen to your customers...you do want you want...@VirginAmerica asks their customer what they want",NA,"Brentwood, CA","Pacific Time (US & Canada)"
"4189","negative",1,"Customer Service Issue",1,"United","@united customer service 👎",NA,"chicago IL","Central Time (US & Canada)"
"4190","negative",1,"Customer Service Issue",0.6544,"United","@united Priceless. United stranded my daughter at O'Hare. United did zero to keep her safe.....alone on a plastic chair for 9h! # United Air",NA,"New Canaan, Ct",NA
"4191","neutral",1,NA,NA,"United","@united Hi again, any updates here?",NA,"NYC, Toronto ","Quito"
"4192","neutral",1,NA,NA,"United","@united Could you tell me if this bag would be accepted as a personal item ? Can i bring one carry-on bag plus this? http://t.co/U390cZpLHl",NA,"The Netherlands","Amsterdam"
"4193","negative",1,"Cancelled Flight",1,"United","@united 3359 which you finally Cancelled Flightled.",NA,"Washington, DC","Atlantic Time (Canada)"
"4194","negative",0.6667,"Customer Service Issue",0.3542,"United",".@united what link? Those are all the email offers u sent me in a year to buy/transfer miles.The last 1 just expired http://t.co/ZZPs5ywVE2",NA,"Italy","Rome"
"4195","negative",1,"Late Flight",1,"United","@united thanks finally made it.. Missed meetings but what can I do now?",NA,NA,"Mountain Time (US & Canada)"
"4196","negative",1,"Late Flight",1,"United","@united Our flight was originally supposed to leave at 1:40pm &amp; now we won't leave until 5. This is the 2nd time this has happened",NA,"Loving the Languageof Literacy","Eastern Time (US & Canada)"
"4197","negative",1,"Lost Luggage",1,"United","@united Supposedly, they're out for delivery. I'll believe it when I see it.",NA,"St. Pete","Eastern Time (US & Canada)"
"4198","negative",0.6641,"Customer Service Issue",0.6641,"United","@united Thank you. Yes, I was hoping to speak with someone directly, but appreciate the link nonetheless. :)",NA,"West Coast of America","Alaska"
"4199","positive",0.6571,NA,0,"United","@united Sure did! Only waited about 15min. Yay!",NA,NA,"Seoul"
"4200","negative",1,"Lost Luggage",1,"United","@united Hi JH, my experience with United has been entirely disgusting but yes, I'd like assistance in getting compensated for my bag.",NA,"New York | Los Angeles","Atlantic Time (Canada)"
"4201","positive",1,NA,NA,"United","@united took this picture on Thursday. #awesome http://t.co/IVGpZSjtkW",NA,"North Plainfield, NJ",NA
"4202","negative",0.6544,"Customer Service Issue",0.6544,"United","@united probably wouldn't be doing it had someone returned my call or email. Case number 8273993",NA,NA,NA
"4203","negative",1,"Can't Tell",0.3423,"United","@united I can't even fit my name on the first two lines, yes... Please do pass on feedback. This is a big downgrade from previous years.",NA,"Colorado","Amsterdam"
"4204","positive",0.663,NA,NA,"United","Is expiring the @united offer to buy or transfer #United #MileagePlus miles with discount? Many offers during a year http://t.co/6tz6imqZlG",NA,"Italy","Rome"
"4205","negative",1,"Cancelled Flight",0.6684,"United","@united no, it was 2 flight Cancelled Flightlations (one due to weather, one mechanical) paid own hotel, bag held in transfer. No voucher/compensation",NA,"New York, NY","Atlantic Time (Canada)"
"4206","negative",1,"Cancelled Flight",0.6786,"United","@united i got email that my reservations got Cancelled Flightled and i will be refunded.  Nothing got refunded as of yet",NA,"Jerusalem-London-Antwerp",NA
"4208","negative",1,"Can't Tell",1,"United","@united you are really trying me today.",NA,NA,"Quito"
"4210","neutral",0.6598,NA,0,"United","@united flt 4567 has had two more updates in the last 3 minutes.",NA,"Memphis","Central Time (US & Canada)"
"4211","negative",1,"Customer Service Issue",0.6882,"United","@united no they were to busy taking to each other and I needed to get to an audition.",NA,"LA",NA
"4212","neutral",1,NA,NA,"United","@united was never given one",NA,NA,"Eastern Time (US & Canada)"
"4213","negative",1,"Customer Service Issue",0.7007,"United","@united quick response offering assistance but lack of follow through - not really the service I was expecting",NA,"Ontario, Canada","Eastern Time (US & Canada)"
"4214","negative",1,"Late Flight",0.6652,"United","@united Stuck in IAD going on 6 hours waiting for a ferry flight from Nashville that u can't tell when it will arrive?!! Ridiculous!!",NA,"Washington, DC","Atlantic Time (Canada)"
"4215","negative",1,"Flight Attendant Complaints",0.6789,"United","@united flt 4567 no gate agent, no announcements. So unprofessional. Time to go back to @Delta",NA,"Memphis","Central Time (US & Canada)"
"4216","positive",1,NA,NA,"United","@united Thanks, ^KP. Please also mention the Quiche breakfast and Tandoori chicken dinner entrees and accompaniments are truly First Class.",NA,"Port Washington, NY 11050","Eastern Time (US & Canada)"
"4217","negative",1,"Late Flight",1,"United","@united flt. 4567 departure time has changed five times in the last 20 minutes. Why don't you figure out a solution and announce once?",NA,"Memphis","Central Time (US & Canada)"
"4218","negative",1,"Lost Luggage",1,"United","@united bags are still in Houston since Friday and still have not been reimbursed the baggage fee.",NA,"North Tonawanda",NA
"4219","negative",0.6533,"Lost Luggage",0.6533,"United","@united who can tell me where they are?",NA,"St. Pete","Eastern Time (US & Canada)"
"4220","negative",1,"Cancelled Flight",1,"United","@united flight 4567 have already been Cancelled Flightled once, been trying to get home two days. Staff being very unhelpful.",NA,"Memphis","Central Time (US & Canada)"
"4222","negative",0.6691,"Flight Attendant Complaints",0.3523,"United","@united flight 4567 agent now wandered off. Pilots came out looking for her. Went to charge her personal phone which she'd been txting on",NA,"Memphis","Central Time (US & Canada)"
"4223","negative",1,"Flight Attendant Complaints",1,"United","@united waiting for flight 4567 to memphis. Incredibly rude gate agent waited until after departure time to announce delay. (1 of 2) #rude",NA,"Memphis","Central Time (US & Canada)"
"4224","negative",0.6703,"Flight Booking Problems",0.3626,"United","@united I don't see how I need to spend an extra $100 bc of ur equipment failure.",NA,"The Lone Star State","Central Time (US & Canada)"
"4225","negative",1,"Flight Booking Problems",0.3571,"United","@united I don't need to make any changes. I reserved my seats when I bought my tickets and there was an error &amp; now there are no comp seats",NA,"The Lone Star State","Central Time (US & Canada)"
"4227","negative",0.6633,"Late Flight",0.6633,"United","@united thanks kp but luckily my transfer has maintenance issues and is still delayed so I didn't miss my transfer...",NA,NA,NA
"4228","neutral",0.6596,NA,0,"United","@united No, not received any e-mails in either Inbox or junk/spam",NA,"North West of England",NA
"4229","negative",0.65,"Customer Service Issue",0.65,"United","@united - could you please send me a phone # to the refunds department?  We have submitted our claim through email without success.",NA,NA,"Eastern Time (US & Canada)"
"4230","negative",1,"Late Flight",0.7139,"United","@united I'm not this person, but I've been sitting in Denver for three hours and all I want to do is get on a plane. Please let me go home.",NA,"Bozeman, Montana","Central Time (US & Canada)"
"4231","negative",1,"Late Flight",0.6489,"United","@united  flight 441 on 2/4 was delayed over three hours because the pilot never showed up!",NA,NA,NA
"4232","negative",0.6526,"Late Flight",0.3579,"United","@united I just need to get to RIC tonight. I've been in EWR for 24hrs now.",NA,"Usually in a plane","Eastern Time (US & Canada)"
"4233","negative",1,"Can't Tell",0.7077,"United","@united which is why my next flights to Miami will be on another airline.",NA,NA,NA
"4234","negative",1,"Customer Service Issue",0.3516,"United","@united It is super frustrating that the folks at the United Ticket Counter in Pittsburg aren't honoring their own Media Rate! #unitedfail",NA,NA,"Pacific Time (US & Canada)"
"4235","negative",1,"Lost Luggage",0.6901,"United","@united 45 minutes after arrival and no bags for most people. UA469 from den to ewr. How long should we wait until a ual rep comes here?",NA,"Denver, CO","Mountain Time (US & Canada)"
"4236","neutral",0.6906,NA,0,"United","@united What is the policy behind changing passengers' seating assignments at the gate?",NA,"North Hollywood, CA",NA
"4237","negative",1,"Customer Service Issue",0.6806,"United","@united with Karen and found her unhelpful and rude  called United at the time &amp; told she could board but Karen would not accept",NA,NA,NA
"4238","negative",1,"Flight Attendant Complaints",0.6404,"United","@united she has crossed 4 prior times with other carriers and no issue. Karen was rude, untrained and unhelpful I also spoke",NA,NA,NA
"4239","negative",0.6642,"Can't Tell",0.3494,"United","@united nexus confirmed that at any crossing via air, car or boat she can travel with only Nexus.",NA,NA,NA
"4240","negative",1,"Customer Service Issue",0.6701,"United","@united 2 employee yelled at her. 3 employee stood with others whispering and pointing at her from behind counter",NA,NA,NA
"4241","negative",1,"Flight Attendant Complaints",0.3437,"United","@united 1 refused boarding with Nexus. nexus confirmed she should not be refused",NA,NA,NA
"4242","positive",1,NA,NA,"United","@united on a good note, the 2 employees I encountered @ Newark were fabulous. I was very Late Flight for my connecting flight and they got me on!!!",NA,"Plattsburgh, New York","Quito"
